species,source collection,accession no.,scan facility,scaling factor,pixel size
Aborolabis mauritanica,ZFMK Bonn,,DESY P05,0.71,1.56
Acanthocordax papuanus,NHM London,NHMUK011251300,KIT light source,1,2.4
Adiathetus shelfordi,ZSM Munich,,DESY P05,1,5.13
Afrocosmia denticulata,NHM London,NHMUK011251293,KIT light source,0.79,3.04
Allodahlia scabriuscula,ZFMK Bonn,,DESY P05,0.41,3.12
Allostethella malayana,NHM London,NHMUK013323092,KIT light source,0.57,4.21
Allostethus indicum,MfN Berlin,,KIT light source,0.45,5.93
Anataelia canariensis,MNHM Paris,MNHN (EP) 4334,KIT light source,0.55,4.36
Ancistrogaster variegata,NHM Vienna,,KIT light source,1,2.4
Anechura bipunctata,ZFMK Bonn,,DESY P05,0.71,2
Anechura japonica,ZFMK Bonn,,DESY P05,0.88,1.62
Anisolabis dohrni,NHM London,NHMUK012502614,KIT light source,0.74,3.24
Anisolabis felix,MfN Berlin,,KIT light source,0.59,4.07
Anisolabis littorea,MfN Berlin,,KIT light source,0.52,4.62
Anisolabis maritima,ZFMK Bonn,,DESY P05,0.73,1.75
Anisolabis pacifica,NHM Vienna,,KIT light source,0.87,2.76
Antisolabis formicoides,NHM London,NHMUK012502597,KIT light source,1,2.4
Antisolabis holdhausi,NHM London,NHMUK012502596,KIT light source,0.58,4.14
Apachyus charteceus,NHM London,NHMUK013323112,KIT light source,0.65,3.69
Apachyus depressus,NHM London,NHMUK012502566,KIT light source,0.67,3.58
Apterygida media,ZFMK Bonn,,DESY P05,1,1.28
Araeomerus morrisi,NHM London,NHMUK012502579,KIT light source,0.67,3.58
Arixenia esau,NHM Vienna,,KIT light source,0.42,5.71
Blandex betschi,MNHM Paris,MNHN (EP) 4337,KIT light source,0.81,4.42
Bormansia africana,MfN Berlin,,KIT light source,0.42,5.81
Bormansia impressicollis,ZSM Munich,,DESY P05,1,5.13
Bormansia monardi,NHM London,NHMUK012502588,KIT light source,0.36,6.78
Capralabis burri,ZSM Munich,,DESY P05,1,5.13
Carcinophora americana,ZSM Munich,,DESY P05,1,5.13
Chaetolabia dentata,NHM London,NHMUK011251002,KIT light source,0.94,2.55
Chaetospania feae,NHM London,NHMUK011251000,KIT light source,0.95,2.53
Chaetospania thoracica,NHM London,NHMUK011251001,KIT light source,0.89,2.7
Chelidura acanthopygia,ZFMK Bonn,,DESY P05,0.85,1.67
Chelidura chelmosensis,MfN Berlin,,KIT light source,1,2.4
Chelidura guentheri,ZFMK Bonn,,DESY P05,1,1.42
Chelisochella superba,MfN Berlin,,KIT light source,0.59,4.52
Chelisoches morio,ZFMK Bonn,,DESY P05,0.87,1.64
Circolabia arcuata,NHM London,NHMUK011251007,KIT light source,0.94,2.55
Cosmiella aptera,MfN Berlin,,KIT light source,0.93,2.87
Cosmiella unicolor,NHM London,NHMUK011251299,KIT light source,0.94,2.55
Cosmogerax guatamalensis,NHM London,NHMUK011250998,KIT light source,0.95,2.53
Cranopygia horsfieldi,NHM London,NHMUK013321170,KIT light source,0.52,4.62
Cranopygia marmoricrura,ZSM Munich,,DESY P05,1,5.13
Cranopygia sauteri,MfN Berlin,,KIT light source,0.58,4.6
Cranopygia valida,NHM London,NHMUK012502591,KIT light source,0.3,8
Ctenisolabis nigra,NHM London,NHMUK012502600,KIT light source,0.76,3.16
Cylindrogaster thoracicus,NHM London,NHMUK012502598,KIT light source,0.56,4.29
Dacnodes acutangula,ZSM Munich,,DESY P05,1,5.13
Dacnodes biaffra,ZFMK Bonn,,SLS TOMCAT,0.68,5.31
Diaperasticus sansibaricus,ZFMK Bonn,,DESY P05,1,1.35
Diplatys macrocephalus,NHM London,NHMUK012502580,KIT light source,0.4,6
Diplatys sp.,S. Mtow,,KIT light source,0.49,4.9
Doru lineare,MfN Berlin,,KIT light source,1,2.67
Echinopsalis guttata,NHM Vienna,,KIT light source,0.72,3.33
Echinosoma micropteryx,NHM London,NHMUK012502605,KIT light source,0.66,3.64
Echinosoma occidentale,ZSM Munich,,DESY P05,1,5.13
Echinosoma yorkense,MfN Berlin,,KIT light source,1,2.4
Elaunon bipartitus,MfN Berlin,,KIT light source,1,2.4
Eparchus biroi,MfN Berlin,,KIT light source,0.94,2.84
Eparchus insignis,MfN Berlin,,KIT light source,0.92,2.61
Epilandex burri,NHM London,NHMUK012502558,KIT light source,0.7,3.43
Esphalmenus camposi,MNHM Paris,MNHN (EP) 4336,KIT light source,0.82,2.93
Euborellia annulipes,NHM London,NHMUK012502555,KIT light source,0.65,3.69
Euborellia femoralis,NHM London,NHMUK012502556,KIT light source,0.65,3.69
Euborellia moesta,MfN Berlin,,KIT light source,0.8,3.33
Euenkrates elegans,MfN Berlin,,KIT light source,0.94,2.55
Eugerax poecilum,NHM London,NHMUK011250997,KIT light source,1,2.4
Eulithinus analis,ZFMK Bonn,,DESY P05,1,1.28
Flexiolabis hamata,MNHM Paris,MNHN (EP) 4324,KIT light source,0.65,3.69
Forcipula decolyi,NHM Vienna,,KIT light source,0.55,4.36
Forficula aetolica,ZFMK Bonn,,DESY P05,1,1.28
Forficula auricularia,priv.coll,,DESY P05,0.5,10.28
Forficula lucasi,ZFMK Bonn,,DESY P05,0.8,1.78
Forficula mandarina,ZFMK Bonn,,DESY P05,0.69,2.06
Forficula schlagintweiti,ZFMK Bonn,,DESY P05,0.8,1.6
Geracodes labioides,NHM London,NHMUK012502602,KIT light source,1,2.4
Gonolabidura piligera,NHM London,NHMUK012502563,KIT light source,0.38,6.32
Gonolabis hincksi,ZSM Munich,,DESY P05,1,5.13
Gonolabis javana,NHM Vienna,,KIT light source,0.88,2.73
Guanchia pubescens,ZFMK Bonn,,DESY P05,1,1.28
Hamaxas semiluteus,MfN Berlin,,KIT light source,1,2.4
Haplodiplatys sp.,NHM London,NHMUK012502583,KIT light source,0.49,4.9
Hemimerus talpoides,NHM London,NHMUK012502577,KIT light source,0.95,2.53
Hemimerus vosseleri,NHM London,NHMUK012502578,KIT light source,0.92,2.65
Homotages feae,NHM London,NHMUK011251301,KIT light source,0.76,4.09
Hypurgus micheli,MfN Berlin,,KIT light source,1,2.67
Idolopsalis riveti,NHM London,NHMUK012502594,KIT light source,0.55,4.36
Isolabis braueri,MfN Berlin,,KIT light source,0.94,2.55
