,Keyword,Magnesium_(mg),Calcium_(mg),cluster,Name
0,ANIMAL FAT,2.0,24.0,0,"BUTTER,WITH SALT"
1,ANIMAL FAT,1.0,23.0,0,"BUTTER,WHIPPED,W/ SALT"
2,OIL,0.0,4.0,0,"BUTTER OIL,ANHYDROUS"
3,CHEESE,23.0,528.0,6,"CHEESE,BLUE"
4,CHEESE,24.0,674.0,2,"CHEESE,BRICK"
5,CHEESE,20.0,184.0,4,"CHEESE,BRIE"
6,CHEESE,20.0,388.0,6,"CHEESE,CAMEMBERT"
7,CHEESE,22.0,673.0,2,"CHEESE,CARAWAY"
8,CHEESE,27.0,710.0,2,"CHEESE,CHEDDAR"
9,CHEESE,21.0,643.0,2,"CHEESE,CHESHIRE"
10,CHEESE,26.0,685.0,2,"CHEESE,COLBY"
11,CHEESE,8.0,83.0,4,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD"
12,CHEESE,7.0,53.0,0,"CHEESE,COTTAGE,CRMD,W/FRUIT"
13,CHEESE,11.0,86.0,4,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD"
14,CHEESE,9.0,111.0,4,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT"
15,CHEESE,5.0,61.0,0,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT"
16,CHEESE,9.0,97.0,4,"CHEESE,CREAM"
17,CHEESE,30.0,731.0,2,"CHEESE,EDAM"
18,CHEESE,19.0,493.0,6,"CHEESE,FETA"
19,CHEESE,14.0,550.0,6,"CHEESE,FONTINA"
20,CHEESE,70.0,400.0,6,"CHEESE,GJETOST"
21,CHEESE,29.0,700.0,2,"CHEESE,GOUDA"
22,CHEESE,36.0,1011.0,2,"CHEESE,GRUYERE"
23,CHEESE,21.0,497.0,6,"CHEESE,LIMBURGER"
24,CHEESE,27.0,746.0,2,"CHEESE,MONTEREY"
25,CHEESE,20.0,505.0,6,"CHEESE,MOZZARELLA,WHL MILK"
26,CHEESE,21.0,575.0,6,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST"
27,CHEESE,23.0,782.0,2,"CHEESE,MOZZARELLA,PART SKIM MILK"
28,CHEESE,27.0,697.0,2,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"
29,CHEESE,27.0,717.0,2,"CHEESE,MUENSTER"
30,CHEESE,10.0,117.0,4,"CHEESE,NEUFCHATEL"
31,CHEESE,34.0,853.0,2,"CHEESE,PARMESAN,GRATED"
32,CHEESE,44.0,1184.0,1,"CHEESE,PARMESAN,HARD"
33,CHEESE,24.0,650.0,2,"CHEESE,PORT DE SALUT"
