,Water_(g),Energy_(kcal),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_(µg),Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
Water_(g),1.0,-0.9005349487744732,-0.10383342219821609,-0.489584328238118,-0.23574383948339037,-0.7740103924635476,-0.38560097047989184,-0.457882649910105,-0.23741357466434448,-0.34905711186168026,-0.39117826942937844,-0.29063996943880477,-0.20049981547604487,-0.1570778120461978,-0.14931915759776784,-0.1400702091644599,-0.06740142534369016,-0.0494257785386164,-0.013933269993548625,-0.2898963823145236,-0.26457486362196025,-0.2752586086594749,-0.0923649230617912,-0.22837606945964498,-0.3266568959824078,-0.24659277080336248,-0.1230616690266009,-0.26663289837633436,-0.01487385277546199,0.01320260284169052,0.011635895976572153,-0.027807013367734116,0.04281189551176312,0.06594833199390555,0.003167897381023069,0.038339113109067104,0.07277986618405625,-0.2317616935062663,-0.05798391269830042,0.02077111459884916,-0.36796010829478754,-0.39059803580748764,-0.39931696360551705,0.05534759622981984
Energy_(kcal),-0.9005349487744732,1.0,0.1126362031540164,0.8066772688610271,0.08325984446788362,0.49302784835172875,0.2020646946337889,0.31579602070095747,0.1248915941364622,0.19622481205603973,0.262945382983074,0.20071421509861037,0.0816430211391352,0.05591989149492047,0.11440123796838977,0.10250834414694476,0.03730521813572866,0.05758444993937348,-0.032983462093758055,0.1866391727531587,0.15421848946870134,0.17428161275939466,0.0618258626802973,0.11925103375510611,0.1843940847685884,0.13900331425569423,0.051112668789535076,0.14398596781782091,0.038677464317508126,-0.013956659388474879,-0.02980587364996668,0.03500440524194982,-0.05366136998670969,-0.08629693190279417,-0.021632486191797855,-0.05179204600316862,-0.08887092522768311,0.303858244101925,0.07498081188545486,-0.02411480273029001,0.6191185163974036,0.676569394730923,0.5951910553305012,0.015089662324880444
Protein_(g),-0.10383342219821609,0.1126362031540164,1.0,0.06233594405981306,0.10631494796090744,-0.30429476801331107,-0.07414262903900243,-0.2693208410927092,0.046245146145591526,0.1285900179645609,0.21798171950610354,0.444553073624992,0.24837060281243606,-0.003169884013355205,0.4220674834521613,0.1533532651900749,0.03482020451309018,0.38391909820788256,-0.0644061707494007,0.10242748451455436,0.2135124705033982,0.39406003523805405,0.23816670834601228,0.24422338825506817,0.008987291341947529,-0.03048937705506127,0.11710477582922339,0.008249176670801588,0.40790132106139576,0.2502900312451109,-0.021469144141649084,0.04365481085448172,-0.057549776239792114,-0.09005021171015125,-0.02962899326515954,-0.054798510775227446,-0.08152316562531343,-0.028481880931037585,0.018184867535924337,-0.07197259439228326,0.05252981311418853,0.09427608163356933,-0.039388646579350345,0.29024463460831257
Lipid_Tot_(g),-0.489584328238118,0.8066772688610271,0.06233594405981306,1.0,-0.005905974511337365,-0.04859445000589476,-0.023089442049944283,-0.00027554890466630256,0.016832945516800323,-0.03562678814389544,0.08235078201447962,0.07442844671432088,-0.03683012197642343,0.011051505470981634,0.03211285338659912,0.04771617576643604,0.0010973800451071348,0.038994693691665354,-0.0573673157206734,-0.001631850306647532,-0.03155415540222556,-0.018253527286599392,0.00860948242484109,-0.041971839218664805,-0.04943591821964967,-0.04797924993487592,-0.02943654553323684,-0.05496261426875115,0.04882427757336394,-0.02091414798749037,-0.020569148142302415,0.03373682094478671,-0.04122276236005889,-0.05779462056318522,-0.01526256498121515,-0.04083718044451049,-0.06164284296483513,0.33769928939040444,0.07314032410549108,0.015055389398009256,0.764602979601538,0.868513657859697,0.7039619197561553,0.08722885129151609
Ash_(g),-0.23574383948339037,0.08325984446788362,0.10631494796090744,-0.005905974511337365,1.0,0.1197080445593654,0.17900276901179038,0.0066691286116442134,0.4743043271036408,0.19763594821456953,0.25884122111257396,0.41497218047862205,0.3505308493887991,0.8139084063267618,0.08169682952190017,0.0918614374739046,0.06010312335564031,0.054287719578173896,0.04319867487151176,0.13001883997804373,0.14857975626268585,0.12281477052623202,0.08998369692600508,0.11533306105771929,0.11795517672221843,0.08213824878714229,0.11994003236124032,0.1140389891632857,0.0690656017204821,0.01773634683481399,0.05088725624043718,0.012831351187211976,0.010739587178804218,0.03304817740001932,0.028483376008441204,0.03747120717295329,0.01053142596320204,0.05489030104364251,0.022576813676710942,0.062480450471870584,-0.02350997682504722,-0.0019012595654065,0.016657710559799883,-0.0063889346312967195
Carbohydrt_(g),-0.7740103924635476,0.49302784835172875,-0.30429476801331107,-0.04859445000589476,0.1197080445593654,1.0,0.45570994826820405,0.6172589096626961,0.1890635085696204,0.3443115929128565,0.2839770618983894,0.07332402107054088,0.11786736924855941,0.07555387568049993,-0.015401854533447746,0.06314886860088295,0.05551630298390531,-0.11555686170938596,0.06956649436530138,0.2744466182034285,0.22038283892186736,0.16066300850808152,0.001544149007879039,0.17986958138988832,0.3809817762284858,0.30988455847717966,0.09961147124168004,0.3186374824373804,-0.17022522553526317,-0.0981813771818962,0.002252651126721221,-0.005796385287257771,-0.0029520802314055555,-0.008998767632213644,0.013915800442248915,-0.0019885031923319524,-0.015369240082820299,0.07208071148064461,0.014611886139330024,-0.01140287533665025,-0.043835373778114965,-0.09612697009171425,0.0548485764931667,-0.21973495656115438
Fiber_TD_(g),-0.38560097047989184,0.2020646946337889,-0.07414262903900243,-0.023089442049944283,0.17900276901179038,0.45570994826820405,1.0,0.10756066676749357,0.23369964798585854,0.38042329716669776,0.5401098884947272,0.15933890957233188,0.3265292868483211,0.010006943352013924,0.08278254676166474,0.18553594222765887,0.10273742818463164,-0.03429674593420174,0.06808619544064015,0.203499605676297,0.1522241275854182,0.1286824977516485,0.0671628145113236,0.23515098977895854,0.30601315350971076,0.15692686443335147,0.3205268329496415,0.24297730590807448,-0.06727930810572387,-0.05456902183666662,0.10708637897346547,-0.019747268801754064,0.06448832946916458,0.14311594516138182,0.12014229779047055,0.024726664671187587,0.09695832651921305,0.15337395428121373,-0.011303036485859036,0.15516087915788818,-0.07566319763419192,-0.030788746914468916,0.07360292548296585,-0.14582444136433556
Sugar_Tot_(g),-0.457882649910105,0.31579602070095747,-0.2693208410927092,-0.00027554890466630256,0.0066691286116442134,0.6172589096626961,0.10756066676749357,1.0,0.1257032898544743,0.11384589307851299,0.041107114366486786,-0.053286369487957855,-0.005767076670894953,0.005117653929460469,-0.031045878725199847,-0.005206373477792429,0.01007371746892622,-0.12675954562228517,0.053275873426236145,0.09136479058910159,0.1150674687690718,0.020496428971544463,-0.01607991478851631,0.07363977421865461,0.17201146156963454,0.18332415165706137,-0.04900976204470415,0.15481677637980207,-0.07304284906891434,-0.05481194146413879,0.002556789560105806,0.005626591128689147,0.011454010476971976,0.0070029081452550775,0.007455352006933466,0.022669924829949728,-0.017141575722572293,0.06653129133979671,0.054585238352246525,-0.01482575649835725,0.06864954839659652,-0.06334641830705176,-0.00523185182143291,-0.13626281912735505
Calcium_(mg),-0.23741357466434448,0.1248915941364622,0.046245146145591526,0.016832945516800323,0.4743043271036408,0.1890635085696204,0.23369964798585854,0.1257032898544743,1.0,0.3519118595174899,0.3101522335454179,0.5645795707062956,0.2507256310797033,0.1751557019409864,0.14447029874468323,0.08258022386741212,0.06755734831458111,0.009449935198361247,0.0946125269297035,0.13267841174115763,0.22018806380389386,0.1303413580282588,0.1553576494918258,0.17920140038951934,0.163921680499112,0.132554718421977,0.10520142506310069,0.15391809439449042,0.022944962033253878,0.013242775215603502,0.05173941355294477,0.026041818968339587,-0.005539048865844005,0.028753244443052235,0.008949351742832744,-0.007868741850074294,0.03936874789100692,0.11655812948135884,0.06734813965355702,0.1716396779724203,0.03485706507463995,-0.008598432809853711,0.0100340746612073,-0.03723280962857344
Iron_(mg),-0.34905711186168026,0.19622481205603973,0.1285900179645609,-0.03562678814389544,0.19763594821456953,0.3443115929128565,0.38042329716669776,0.11384589307851299,0.3519118595174899,1.0,0.39942442819907714,0.2195430073372391,0.22978268809747238,0.028236025077815113,0.3859121706133155,0.1823619092172952,0.09335227128785083,0.06659093579091961,0.0620109505246338,0.3846526055398166,0.4892359529219855,0.48719547983608513,0.22376378357645055,0.47634670028695303,0.5362621792587071,0.4487079989962612,0.18427976879234154,0.47837633098840554,0.03429749566959516,0.18078593541620597,0.13452222723048443,0.09279835374018333,-0.008932697768542566,0.024209705220247183,0.02813528903063103,-0.01434260421890371,0.028112412052192507,0.16612776403445126,0.08053460699275174,0.17538709115557577,-0.0522886940547739,-0.03502456061829345,0.0020107268946034274,0.005995185918721202
