,Magnesium_(mg),Calcium_(mg)
,mean,mean
Keyword,,
ALCOHOLIC BEVERAGE,5.068181818181818,7.7272727272727275
ANIMAL FAT,1.3636363636363635,15.181818181818182
BABYFOOD,18.610958904109587,140.13972602739727
BEEF,20.73191489361702,12.934088568486096
BEVERAGES,24.757637474541752,63.47591522157996
BREAD,38.21301775147929,99.66137566137566
CHEESE,26.051546391752577,600.5192307692307
CHICKEN,21.425,23.670833333333334
CREAM,8.909090909090908,72.82608695652173
DUCK,19.125,13.307692307692308
FISH,36.70666666666666,56.096638655462186
FRUITS,18.677083333333332,33.80402010050251
GOAT,24.75,272.6
GOOSE,20.444444444444443,33.22222222222222
GRAIN,68.26086956521739,109.88561525129982
LAMB,21.54421768707483,13.810169491525423
MEAT,15.340425531914894,42.666666666666664
MILK,28.510204081632654,286.01960784313724
NUTRITION SUPPL,64.34782608695652,883.1304347826087
NUTS,163.48611111111111,97.56164383561644
OIL,0.3764705882352941,1.4942528735632183
PORK,19.57857142857143,18.140515222482435
PROCESSED FOOD,20.362796833773086,68.49398907103826
SAUCE,38.44871794871795,51.82022471910113
SEAFOOD,41.82539682539682,52.2
SNACKS,57.34163701067616,106.39419087136929
SPICE,178.57534246575344,549.4078947368421
SWEETS,32.30861244019139,105.41815856777494
TURKEY,22.72340425531915,23.80141843971631
VEAL,24.84313725490196,17.50485436893204
VEGETABLE FAT,1.105263157894737,8.210526315789474
VEGETABLES,57.57546251217137,67.55267702936096
VENISON,27.015384615384615,9.793333333333333
VINEGAR,7.0,13.333333333333334
WHEY,98.25,750.0
YOGURT,15.710526315789474,139.0625
